label_name,gain,tone,latents,coords
honeybee,0,1,"[-0.11660479754209518, -0.3404087424278259, 0.09968382865190506, -0.7656522989273071, 0.8951956629753113, 0.5530437231063843, 0.9300470352172852, -0.8416613340377808]","[0.19081932306289673, 0.12638117372989655]"
bigfella,4,2,"[-0.5455615520477295, 0.819543719291687, 0.006798736285418272, 0.11059253662824631, 0.10045649856328964, 0.9719952344894409, 0.2329525500535965, -0.45422738790512085]","[0.1445332020521164, 0.8098348379135132]"
honeybee,4,3,"[-0.8851476311683655, 0.7546490430831909, -0.2847746014595032, 0.9231089949607849, 0.5876621007919312, 0.5812865495681763, 0.8245133757591248, 0.13913990557193756]","[0.08404809981584549, 0.8571916818618774]"
bigfella,3,3,"[0.5541356801986694, -0.5297110080718994, -0.06666895002126694, -0.8892539143562317, -0.28150883316993713, -0.128121480345726, 0.8267424702644348, -0.12471195310354233]","[0.5346494317054749, 0.09189900010824203]"
bigfella,5,0,"[-0.8130653500556946, 0.4201982915401459, -0.11523725837469101, -0.5696620941162109, -0.01856033131480217, -0.8319720029830933, 0.9630692601203918, -0.223098024725914]","[0.2070465236902237, 0.6774811744689941]"
honeybee,1,4,"[0.8173632621765137, -0.7608737349510193, 0.16385099291801453, -0.6880888938903809, -0.5805716514587402, 0.10225080698728561, 0.11750826984643936, 0.5342221856117249]","[0.7592234015464783, 0.1645655333995819]"
bigfella,2,3,"[0.8509066700935364, 0.6147173643112183, -0.7014077305793762, -0.4311748445034027, 0.8040890693664551, 0.11443878710269928, 0.732545793056488, -0.8647072911262512]","[0.03518674522638321, 0.18353351950645447]"
honeybee,4,2,"[-0.9241665005683899, 0.6764994263648987, -0.6357539892196655, 0.6946046948432922, -0.30965083837509155, 0.8814315795898438, 0.872881293296814, -0.9794833064079285]","[0.0, 0.9113688468933105]"
bigfella,0,0,"[0.6263758540153503, -0.12461558729410172, -0.124931700527668, 0.6730672121047974, -0.762644350528717, -0.49339622259140015, -0.44238030910491943, 0.09879656136035919]","[0.7167674899101257, 0.5218505263328552]"
bigfella,3,1,"[0.9407485127449036, -0.2342449426651001, -0.8116111755371094, 0.7675862312316895, -0.1468929797410965, 0.32071155309677124, 0.30993780493736267, -0.09509652107954025]","[0.24137593805789948, 0.18786266446113586]"
honeybee,2,2,"[-0.8308132290840149, 0.8115873336791992, -0.6682225465774536, 0.8569325804710388, 0.9357844591140747, -0.5709718465805054, -0.0696716234087944, 0.5418640375137329]","[0.22617094218730927, 0.9850658178329468]"
honeybee,1,3,"[-0.8186315894126892, -0.46942752599716187, 0.9177668690681458, -0.7998523116111755, 0.33861875534057617, 0.7712190747261047, -0.592732310295105, 0.8165597915649414]","[0.9042693376541138, 0.8000970482826233]"
bigfella,2,1,"[-0.9048705697059631, 0.014965437352657318, 0.22013792395591736, -0.4557248651981354, -0.36969250440597534, 0.8640557527542114, -0.12465944141149521, 0.7418277263641357]","[0.6956639289855957, 0.8711934685707092]"
bigfella,5,1,"[-0.534522533416748, -0.4415932595729828, 0.8919986486434937, 0.1791807860136032, 0.026128718629479408, -0.992388904094696, -0.6635904908180237, 0.41551199555397034]","[0.8866643309593201, 0.7371400594711304]"
honeybee,0,3,"[0.8896664977073669, 0.2534647583961487, -0.43833813071250916, -0.321732759475708, 0.2809959053993225, -0.3061656057834625, 0.858820915222168, 0.3569732904434204]","[0.2709020972251892, 0.13392849266529083]"
bigfella,0,5,"[-0.9809218645095825, -0.3350512683391571, 0.8642351031303406, 0.744876503944397, 0.8680577278137207, 0.8930612206459045, 0.38704442977905273, 0.2797859013080597]","[0.35716983675956726, 1.0]"
bigfella,0,1,"[0.16871120035648346, -0.581592321395874, 0.05113447085022926, -0.522562563419342, -0.008452203124761581, -0.5494451522827148, -0.6059505939483643, 0.12134328484535217]","[0.8014207482337952, 0.38035455346107483]"
bigfella,2,2,"[0.9947503805160522, -0.6339018940925598, -0.7027344703674316, -0.5825822949409485, 0.262532114982605, 0.4652485251426697, 0.05338384211063385, 0.9479508399963379]","[0.654882550239563, 0.010211671702563763]"
bigfella,3,4,"[0.5885436534881592, -0.9673304557800293, 0.5827840566635132, 0.4945070445537567, 0.6897783875465393, -0.3600390553474426, -0.6095506548881531, -0.6959577202796936]","[0.7739939093589783, 0.18383021652698517]"
bigfella,1,5,"[-0.2785864472389221, 0.29416197538375854, -0.16894887387752533, 0.43846940994262695, 0.6572903394699097, -0.0037709500174969435, 0.75824373960495, -0.16369083523750305]","[0.16538390517234802, 0.5439923405647278]"
bigfella,4,1,"[0.6696381568908691, 0.7954903841018677, 0.1366700381040573, 0.5572804808616638, 0.6803238391876221, 0.10394955426454544, 0.3507624864578247, 0.4088023602962494]","[0.08414572477340698, 0.46927034854888916]"
bigfella,5,5,"[0.10719234496355057, 0.48667800426483154, 0.887985110282898, 0.6815290451049805, 0.05424380302429199, -0.4236891567707062, -0.26565879583358765, -0.9601292610168457]","[0.2119622826576233, 0.8081156611442566]"
honeybee,1,0,"[-0.07624588906764984, 0.7934718132019043, 0.36237502098083496, 0.6619870066642761, 0.766741156578064, -0.27869686484336853, -0.1799810230731964, 0.7842683792114258]","[0.24946562945842743, 0.825423538684845]"
honeybee,4,5,"[0.854836106300354, -0.9728179574012756, 0.44515493512153625, 0.05360501632094383, -0.8361562490463257, 0.25295010209083557, -0.4527345299720764, -0.3963853716850281]","[0.8665377497673035, 0.2542788088321686]"
